"Text";"Id"
"RT @erikakokay: COVARDE E AUTORITÁRIO 

Bolsonaro ameaça usar Lei de Segurança Nacional contra Lula por querer ameaçar a “ordem constitucio…";"1194015534649675778"
"RT @folha: Bolsonaro extingue seguro obrigatório para veículos, o DPVAT https://t.co/ALiXrq9Ekg";"1194015534536368128"
"@dlaurini @o_antagonista Acho que pensar mais antes de falar tbm seria recomendação para o presidente Bolsonaro. Não acha?";"1194015534163083265"
"admiro a coragem de uns fdp por ai, comentaram em uma foto de uma menina com a conta anônima dizendo “jair bolsonaro te ama feminista” “ja lavou a louça hj??” bloqueei e ela tbm, isso foi no instagram, se quiserem q eu passe a conta dele para denunciar me chama  na dm";"1194015534158925824"
"RT @lelispatricia: Mais uma vez vou começar o dia perguntando:

O que melhorou diretamente na sua vida após a eleição do Bolsonaro?

•Regra…";"1194015532208574466"
"RT @erikakokay: COVARDE E AUTORITÁRIO 

Bolsonaro ameaça usar Lei de Segurança Nacional contra Lula por querer ameaçar a “ordem constitucio…";"1194015529515835392"
"RT @BrazilFight: Bolsonaro sobre Lula: 'A Lei de Segurança Nacional está aí para ser usada' https://t.co/sdUPF7Fr5K via @UOLNoticias @UOL";"1194015528832122882"
"RT @MarcioR_Silva: Putin chega esta semana ao Brasil e conversará com Bolsonaro sobre o apoio que deu ao golpe na Bolívia, diz assessor. ht…";"1194015528601423873"
"RT @SergiusAugustus: Trecho de um artigo ('Que vengan los cholos'), sobre a eleição de Evo Morales, que publiquei no Aliás do @Estadao, em…";"1194015527687139328"
"RT @AlencarBraga13: ABSOURDO! Em uma transmissão pública de TV e em uma solenidade oficial, BOLSONARO ADMITE QUE SÓ VIROU PRESIDENTE PORQUE…";"1194015527674564609"
"RT @FBDemocratico: Proposta de geração de emprego do governo Bolsonaro:

Seu Zé vai para a entrevista.
Lá, descobre que o salário é até R$…";"1194015527452250112"
"RT @felipeneto: Globo vem voando nos ataques sofridos pelo Bolsonaro e Lula.

A percepção do público médio cada vez mais fica influenciada…";"1194015526403682304"
"RT @fariasbolsogata: ?BOLSONARO VETA PEPPA NA REUNIÃO DO PSL
O PRESIDENTE @jairbolsonaro CONVOCOU REUNIÃO DO PSL PARA ANUNCIAR  SUA SAÍDA D…";"1194015525879394304"
"RT @BrazilFight: URGENTE-BOLSONARO VETA JOICE NA REUNIÃO DO PSL
Presidente convocou reunião do PSL para anunciar a sua saída do partido,ama…";"1194015525581598720"
"@CoronelTadeu É obvio que seria alguem do PSL. Tambem não vejo a hora do Bolsonaro morrer, não é discurso de odio e sim de paz. Nada ira apagar o dano que esse canalha e seus filhos fizeram e ainda fazem a este pais.";"1194015524918824966"
"RT @claudioedantas: EXCLUSIVO: “TEM UMA LINHA DE INVESTIGAÇÃO DE ALGUÉM PRÓXIMO DE MIM”, DIZ BOLSONARO SOBRE CASO ADÉLIO https://t.co/dnQoy…";"1194015522892980224"
"RT @RicAmorim_: Bolsonaro chegando no Palácio do Planalto e dando de cara com o Lula https://t.co/TYqDib8Vdk";"1194015522624544768"
"RT @brasil247: Bolsonaro acaba com indenização do DPVAT para as vítimas de acidentes de trânsito https://t.co/PDRXuGhumV";"1194015522226094080"
"RT @nalua12: A familia bolsonaro as vezes parece que sei la... come coco";"1194015521890603010"
"RT @orlandosilva: O Brasil é mesmo o país da piada pronta. Governo Bolsonaro colocou Rogério Marinho para coordenar um programa de emprego…";"1194015520665866241"
"RT @_remina: CARALHO FODASE A PORRA DO CARLOS BOLSONARO POSTANDO FOTO IDIOTA

TA ACONTECENDO A PORRA DE UM GOLPE NA BOLÍVIA CARALHO

UM GOL…";"1194015519608909824"
"RT @randolfeap: Bolsonaro quer um partido para chamar de seu. Não tolera viver com contrários. Não respeita a democracia. Quer a todo custo…";"1194015519311040513"
"RT @folha: Após ameaçar Globo e Folha, Bolsonaro diz que Lula defende censura da mídia; presidente ameaçou não renovar concessão da TV Glob…";"1194015518719664129"
"RT @RenovaMidia: “Nosso papel é diminuir cada vez mais a guerra que vivemos e ainda perdemos no #Brasil!”, afirmou o presidente Jair Bolson…";"1194015518547726336"
"RT @N_Carvalheira: ANOTE AÍ

Em 1/11/2020 Bolsonaro, finalmente,  vai assumir de fato o comando da nação. 

Depois de quase  intermináveis…";"1194015518304419846"
"RT @folha: Bolsonaro extingue seguro obrigatório para veículos, o DPVAT https://t.co/ALiXrq9Ekg";"1194015517645950979"
"RT @jkjmlovely_: bts se passasse 1 mês no Brasil :

namjoon : vo fazer o enem véi
hoseok : so o básico
jk : vo jogar free fire 
taehyung :…";"1194015517008379904"
"RT @lelispatricia: Mais uma vez vou começar o dia perguntando:

O que melhorou diretamente na sua vida após a eleição do Bolsonaro?

•Regra…";"1194015516626751488"
"RT @claudioedantas: EXCLUSIVO: “TEM UMA LINHA DE INVESTIGAÇÃO DE ALGUÉM PRÓXIMO DE MIM”, DIZ BOLSONARO SOBRE CASO ADÉLIO https://t.co/dnQoy…";"1194015514265366529"
"@jandira_feghali Bolsonaro é tão burro que se esquece de balançar o rabo.";"1194015514064019456"
"Me disseram que dois meses atrás Obrador se negaba a receber  Bolsonaro, Fernández ganha e faz sua primeira viagem a Mexico, Obrador concede asilo político a Evo. ?";"1194015513980133377"
"RT @CARLOSBOLS0NARO: ALEGRIA GERAL: Jean Wyllys diz que só voltará ao país quando Bolsonaro não for mais presidente.
Então espere sentado,…";"1194015511044132865"
"RT @OBrasildoFutur1: ?? Novo partido de Bolsonaro já tem nome: Aliança pelo Brasil https://t.co/hGMcddPeVk via @portalr7";"1194015511018967044"
"RT @paulabasilyo: Gilmar até  2043? Deusolivre! Xô, Satanás #ImpeachmentGilmarMendes
E Bolsonaro até 2026 pra limpar essa corte. ???? https…";"1194015507210473472"
"RT @thicico: Em menos de 24 horas Luciano Huck já recuou 3 vezes sobre a Bolívia. É um bolsonaro com nariz mais feio.";"1194015506560409600"
"RT @CarlaValente_17: .@jairbolsonaro confirmou  q sua decisão de sair do PSL está tomada. Ele ainda ñ definiu uma data, mas a desfiliação d…";"1194015506287775744"
"RT @OlavoOpressor: Na famosa declaração do Eduardo Bolsonaro sobre o AI-5, tudo o que ele fez foi apontar a uma possibilidade histórica e e…";"1194015506283552770"
"RT @paula2ag: Se fosse Bolsonaro, já teria um bando de parlamentar esquerdista na porta do STF, da PGR, em cima das torres, gritando, blasf…";"1194015505734144001"
"RT @lelispatricia: Mais uma vez vou começar o dia perguntando:

O que melhorou diretamente na sua vida após a eleição do Bolsonaro?

•Regra…";"1194015504979185664"
"RT @CarlosBolsonaro: Governo Bolsonaro, via @mdregional_br , Gustavo Canuto, entrega moradias populares na Paraíba. Mais de 30 mil já foram…";"1194015502944919554"
"RT @J_LIVRES: Arte sobre golpe contra Evo Morales retrata Trump e Bolsonaro como algozes,  em paródia com o quadro de Goya.

El tres de May…";"1194015502412197888"
"Bolsonaro entrega milhares de moradias populares na Paraíba - RENOVA Mídia https://t.co/s5rEGzK9x2";"1194015500784873472"
"@clarafborges @IagoSuarez Bolsonaro acabou com o horário de verão tá";"1194015500721934337"
"RT @erikakokay: COVARDE E AUTORITÁRIO 

Bolsonaro ameaça usar Lei de Segurança Nacional contra Lula por querer ameaçar a “ordem constitucio…";"1194015500378001408"
"A familia bolsonaro as vezes parece que sei la... come coco";"1194015500042407942"
"RT @jkjmlovely_: bts se passasse 1 mês no Brasil :

namjoon : vo fazer o enem véi
hoseok : so o básico
jk : vo jogar free fire 
taehyung :…";"1194015499237154822"
"@JoseMedeirosMT O adesivo do carro tem o nome de quem influência esse crime: Bolsonaro 2022";"1194015499006427138"
"RT @folha: Bolsonaro extingue seguro obrigatório para veículos, o DPVAT https://t.co/ALiXrq9Ekg";"1194015498717007872"
"RT @jose_neumanne: Lula ataca porque não tem defesa: Petista acusa Bolsonaro de crime de que não tem provas, porque conta com imunidade gar…";"1194015497454530560"
"SUA MASCARA CAIU CED0 EM SEU MERDA. https://t.co/PKKeHx7wh2";"1194015497156747272"
"RT @MelgesVOLTOU: @andreiarosaaro @MRodrigoc99 @folha #lulacontinualadrao #GloboLixo BOLSONARO SE REÚNE C/ ALTA CÚPULA DO EXÉRCITO APÓS #Lu…";"1194015496821235713"
"RT @BrazilFight: Bolsonaro assinou há pouco uma medida provisória que extingue o seguro obrigatório DPVAT.
Grande dia";"1194015496112427009"
"RT @umvicente: O BOLSONARO GRITANDO IHUUUUUUUUU 
este eh o tweet https://t.co/8eTIiCZqJS";"1194015491771260929"
"RT @BrazilFight: URGENTE-BOLSONARO MANDA RECADO PARA LULA
'Temos uma Lei de Segurança Nacional que está aí para ser usada. Alguns acham que…";"1194015491293089798"
"RT @PAVAOMISTERIOS0: Com aval de Bolsonaro, Moro reage a Lula, e diz: 
'Se eu fosse ministro do STF, votaria favorável a prisão em 2a insta…";"1194015491230175232"
"RT @umvicente: O BOLSONARO GRITANDO IHUUUUUUUUU 
este eh o tweet https://t.co/8eTIiCZqJS";"1194015490580066305"
"RT @IvanValente: Pressão total no STF.

É hora de derrubar a decisão de Toffoli que suspendeu as investigações que usam dados do COAF.

São…";"1194015490554904577"
"@AbrahamWeint @samanthaweather Bacana. Já podemos dizer que o Lula e o Bolsonaro tem duas coisas em comum, pelo menos.
Não precisa linkar nada né?";"1194015490429083649"
"RT @claudioedantas: EXCLUSIVO: 'A LEI DE SEGURANÇA NACIONAL ESTÁ AÍ PARA SER USADA', DIZ BOLSONARO SOBRE LULA. (PARTE 1)
https://t.co/oO0qw…";"1194015490043199488"
"RT @isentoes2: O governo lançou o programa Verde Amarelo, que visa incentivar a contratação de jovens e busca gerar 1.8 milhão de empregos…";"1194015489699307520"
"Bolsonaro: “A palavra ‘golpe’ é usada quando a esquerda perde” - https://t.co/76SqsIIWwK";"1194015489317593088"
"RT @paulabasilyo: Gilmar até  2043? Deusolivre! Xô, Satanás #ImpeachmentGilmarMendes
E Bolsonaro até 2026 pra limpar essa corte. ???? https…";"1194015486545141765"
"RT @jkjmlovely_: bts se passasse 1 mês no Brasil :

namjoon : vo fazer o enem véi
hoseok : so o básico
jk : vo jogar free fire 
taehyung :…";"1194015484984864774"
"RT @jose_neumanne: Lula ataca porque não tem defesa: Petista acusa Bolsonaro de crime de que não tem provas, porque conta com imunidade gar…";"1194015483873439745"
"RT @BrazilFight: Bolsonaro assinou há pouco uma medida provisória que extingue o seguro obrigatório DPVAT.
Grande dia";"1194015483869179904"
"RT @OlavoOpressor: Na famosa declaração do Eduardo Bolsonaro sobre o AI-5, tudo o que ele fez foi apontar a uma possibilidade histórica e e…";"1194015483755933696"
"RT @AmandaM_N: E tá errado?
https://t.co/v2S2iqAXRv";"1194015483143622656"
"RT @emirsader: Para evitar adulteração, Bolsonaro recolhe urnas da eleição presidencial de 2022 - revista piauí https://t.co/sUt8boL3YS";"1194015482438922242"
"RT @viniciussexto: Criticar os 'robôs' do Bolsonaro é fácil. Difícil é deixar de ser jumento do Lula";"1194015480861855752"
"RT @kakau: Engraçado o Bolsonaro mencionar a lei de segurança nacional, que os filhos dele vivem infringindo, né? Eduardo já violou pelo me…";"1194015480509587456"
"Bolsonaro ameaça mandar prender Lula https://t.co/KI4kXMUZwJ";"1194015476743069696"
"RT @CarlosBolsonaro: Governo Bolsonaro, via @mdregional_br , Gustavo Canuto, entrega moradias populares na Paraíba. Mais de 30 mil já foram…";"1194015474981453831"
"RT @criticanac: Pode estar no horizonte político a concretização de uma antiga ambição da direita nacional: a formação de um partido autent…";"1194015474012557312"
